X,Y,SURVEY_LINE,ELEVATION,DEM,TRACE,DEPTH,SURVEY_NAME,UTM_ZONE,DATUM,EPSG,SURVEY_ECAT_NUMBER,AGE_TYPE,BOUNDARY_NAME,OvrStrtUnt,OvrStrtCod,UndStrtUnt,UndStrtCod,INTERPRETATION_BASIS_1,DEPTH_UOM,DEPTH_CONFIDENCE,Comment,Operator,UNCERTAINTY,UNCERTAINTY_DESC
764040.091,8397592.09,109001,-104.82,104,120,208.82,Daly River Region AEM SkyTEM,52,GDA 94,EPSG:28352,122012,INTRA_Paleozoic,Oolloo- Jinduckin,Oolloo Dolostone,24443,Jinduckin Formation,24641,Interpretation of AEM,m,M,Exported from Petrel project,Neil Symington,51.764,95% confidence
765124,8397586.58,109001,-114.53,96,162,210.53,Daly River Region AEM SkyTEM,52,GDA 94,EPSG:28352,122012,INTRA_Paleozoic,Oolloo- Jinduckin,Oolloo Dolostone,24443,Jinduckin Formation,24641,Interpretation of AEM,m,M,Exported from Petrel project,Neil Symington,52.106,95% confidence
766351,8397571,109001,-106.41,93,213,199.41,Daly River Region AEM SkyTEM,52,GDA 94,EPSG:28352,122012,INTRA_Paleozoic,Oolloo- Jinduckin,Oolloo Dolostone,24443,Jinduckin Formation,24641,Interpretation of AEM,m,M,Exported from Petrel project,Neil Symington,49.882,95% confidence
770521.6,8397581.4,109001,-188.62,111,370,299.62,Daly River Region AEM SkyTEM,52,GDA 94,EPSG:28352,122012,INTRA_Paleozoic,Oolloo- Jinduckin,Oolloo Dolostone,24443,Jinduckin Formation,24641,Interpretation of AEM,m,M,Exported from Petrel project,Neil Symington,69.924,95% confidence
773597,8397591.26,109001,-256.36,155,488,411.36,Daly River Region AEM SkyTEM,52,GDA 94,EPSG:28352,122012,INTRA_Paleozoic,Oolloo- Jinduckin,Oolloo Dolostone,24443,Jinduckin Formation,24641,Interpretation of AEM,m,M,Exported from Petrel project,Neil Symington,92.272,95% confidence
775963.3,8397583.3,109001,-275.58,185,591,460.58,Daly River Region AEM SkyTEM,52,GDA 94,EPSG:28352,122012,INTRA_Paleozoic,Oolloo- Jinduckin,Oolloo Dolostone,24443,Jinduckin Formation,24641,Interpretation of AEM,m,M,Exported from Petrel project,Neil Symington,102.116,95% confidence
765893.615,8394010.77,109201,-102.03,119,2204,221.03,Daly River Region AEM SkyTEM,52,GDA 94,EPSG:28352,122012,INTRA_Paleozoic,Oolloo- Jinduckin,Oolloo Dolostone,24443,Jinduckin Formation,24641,Interpretation of AEM,m,M,Exported from Petrel project,Neil Symington,54.206,95% confidence
767763.579,8393992.32,109201,-129.91,116,2273,245.91,Daly River Region AEM SkyTEM,52,GDA 94,EPSG:28352,122012,INTRA_Paleozoic,Oolloo- Jinduckin,Oolloo Dolostone,24443,Jinduckin Formation,24641,Interpretation of AEM,m,M,Exported from Petrel project,Neil Symington,59.182,95% confidence
770456.3,8393990.8,109201,-185.32,139,2379,324.32,Daly River Region AEM SkyTEM,52,GDA 94,EPSG:28352,122012,INTRA_Paleozoic,Oolloo- Jinduckin,Oolloo Dolostone,24443,Jinduckin Formation,24641,Interpretation of AEM,m,M,Exported from Petrel project,Neil Symington,74.864,95% confidence
772685.609,8393988.52,109201,-217.52,139,2463,356.52,Daly River Region AEM SkyTEM,52,GDA 94,EPSG:28352,122012,INTRA_Paleozoic,Oolloo- Jinduckin,Oolloo Dolostone,24443,Jinduckin Formation,24641,Interpretation of AEM,m,M,Exported from Petrel project,Neil Symington,81.304,95% confidence
776672,8393954,109201,-261.84,122,2607,383.84,Daly River Region AEM SkyTEM,52,GDA 94,EPSG:28352,122012,INTRA_Paleozoic,Oolloo- Jinduckin,Oolloo Dolostone,24443,Jinduckin Formation,24641,Interpretation of AEM,m,M,Exported from Petrel project,Neil Symington,86.768,95% confidence
783422.25,8393929.5,109201,-323.98,90,2867,413.98,Daly River Region AEM SkyTEM,52,GDA 94,EPSG:28352,122012,INTRA_Paleozoic,Oolloo- Jinduckin,Oolloo Dolostone,24443,Jinduckin Formation,24641,Interpretation of AEM,m,M,Exported from Petrel project,Neil Symington,92.796,95% confidence
788465.143,8393919.86,109201,-368.08,70,3080,438.08,Daly River Region AEM SkyTEM,52,GDA 94,EPSG:28352,122012,INTRA_Paleozoic,Oolloo- Jinduckin,Oolloo Dolostone,24443,Jinduckin Formation,24641,Interpretation of AEM,m,M,Exported from Petrel project,Neil Symington,97.616,95% confidence
788925.034,8393931.55,109201,-377.73,66,3098,443.73,Daly River Region AEM SkyTEM,52,GDA 94,EPSG:28352,122012,INTRA_Paleozoic,Oolloo- Jinduckin,Oolloo Dolostone,24443,Jinduckin Formation,24641,Interpretation of AEM,m,M,Exported from Petrel project,Neil Symington,98.746,95% confidence
791700.429,8393917.43,109202,-332.11,67,33,399.11,Daly River Region AEM SkyTEM,52,GDA 94,EPSG:28352,122012,INTRA_Paleozoic,Oolloo- Jinduckin,Oolloo Dolostone,24443,Jinduckin Formation,24641,Interpretation of AEM,m,M,Exported from Petrel project,Neil Symington,89.822,95% confidence
795802.579,8393895.05,109202,-312.71,96,225,408.71,Daly River Region AEM SkyTEM,52,GDA 94,EPSG:28352,122012,INTRA_Paleozoic,Oolloo- Jinduckin,Oolloo Dolostone,24443,Jinduckin Formation,24641,Interpretation of AEM,m,M,Exported from Petrel project,Neil Symington,91.742,95% confidence
799065.235,8393888.59,109202,-307.94,115,374,422.94,Daly River Region AEM SkyTEM,52,GDA 94,EPSG:28352,122012,INTRA_Paleozoic,Oolloo- Jinduckin,Oolloo Dolostone,24443,Jinduckin Formation,24641,Interpretation of AEM,m,M,Exported from Petrel project,Neil Symington,94.588,95% confidence
801801.471,8393888.12,109202,-280.42,118,500,398.42,Daly River Region AEM SkyTEM,52,GDA 94,EPSG:28352,122012,INTRA_Paleozoic,Oolloo- Jinduckin,Oolloo Dolostone,24443,Jinduckin Formation,24641,Interpretation of AEM,m,M,Exported from Petrel project,Neil Symington,89.684,95% confidence
802077.448,8393886,109203,-256.26,120,7,376.26,Daly River Region AEM SkyTEM,52,GDA 94,EPSG:28352,122012,INTRA_Paleozoic,Oolloo- Jinduckin,Oolloo Dolostone,24443,Jinduckin Formation,24641,Interpretation of AEM,m,M,Exported from Petrel project,Neil Symington,85.252,95% confidence
804445,8393866.29,109203,-275.66,111,116,386.66,Daly River Region AEM SkyTEM,52,GDA 94,EPSG:28352,122012,INTRA_Paleozoic,Oolloo- Jinduckin,Oolloo Dolostone,24443,Jinduckin Formation,24641,Interpretation of AEM,m,M,Exported from Petrel project,Neil Symington,87.332,95% confidence
806329.351,8393858.08,109203,-267.55,124,201,391.55,Daly River Region AEM SkyTEM,52,GDA 94,EPSG:28352,122012,INTRA_Paleozoic,Oolloo- Jinduckin,Oolloo Dolostone,24443,Jinduckin Formation,24641,Interpretation of AEM,m,M,Exported from Petrel project,Neil Symington,88.31,95% confidence
807933.839,8393860.19,109203,-288.54,117,273,405.54,Daly River Region AEM SkyTEM,52,GDA 94,EPSG:28352,122012,INTRA_Paleozoic,Oolloo- Jinduckin,Oolloo Dolostone,24443,Jinduckin Formation,24641,Interpretation of AEM,m,M,Exported from Petrel project,Neil Symington,91.108,95% confidence
807690.366,8393857.41,109204,-284.56,121,7,405.56,Daly River Region AEM SkyTEM,52,GDA 94,EPSG:28352,122012,INTRA_Paleozoic,Oolloo- Jinduckin,Oolloo Dolostone,24443,Jinduckin Formation,24641,Interpretation of AEM,m,M,Exported from Petrel project,Neil Symington,91.112,95% confidence
810123.586,8393845.21,109204,-278.35,122,116,400.35,Daly River Region AEM SkyTEM,52,GDA 94,EPSG:28352,122012,INTRA_Paleozoic,Oolloo- Jinduckin,Oolloo Dolostone,24443,Jinduckin Formation,24641,Interpretation of AEM,m,M,Exported from Petrel project,Neil Symington,90.07,95% confidence
812350.8,8393840.8,109204,-246.4,150,223,396.4,Daly River Region AEM SkyTEM,52,GDA 94,EPSG:28352,122012,INTRA_Paleozoic,Oolloo- Jinduckin,Oolloo Dolostone,24443,Jinduckin Formation,24641,Interpretation of AEM,m,M,Exported from Petrel project,Neil Symington,89.28,95% confidence
815284,8393827.67,109204,-223.71,132,351,355.71,Daly River Region AEM SkyTEM,52,GDA 94,EPSG:28352,122012,INTRA_Paleozoic,Oolloo- Jinduckin,Oolloo Dolostone,24443,Jinduckin Formation,24641,Interpretation of AEM,m,M,Exported from Petrel project,Neil Symington,81.142,95% confidence
803812.667,8414065.33,106301,55.32,74,219,18.68,Daly River Region AEM SkyTEM,52,GDA 94,EPSG:28352,122012,INTRA_Paleozoic,Oolloo- Jinduckin,Oolloo Dolostone,24443,Jinduckin Formation,24641,Interpretation of AEM,m,M,Exported from Petrel project,Neil Symington,13.736,95% confidence
